202,SHECF,"Shin-Etsu Chemical Co., Ltd.",56.92B,30.34,-1.18%,17.10B,2025-06-20
203,SHECY,"Shin-Etsu Chemical Co., Ltd.",56.92B,15.03,-2.94%,17.10B,2025-06-20
204,DSDVF,DSV A/S,56.61B,237.80,-2.45%,24.70B,2025-06-20
205,DSDVY,DSV A/S,56.61B,116.85,-3.02%,24.70B,2025-06-20
206,DGEAF,Diageo plc,56.53B,25.41,0.50%,20.21B,2025-06-20
207,CMPGF,Compass Group PLC,56.27B,34.32,-1.52%,43.83B,2025-06-20
208,CMPGY,Compass Group PLC,56.27B,33.62,-0.12%,43.83B,2025-06-20
209,DBOEF,Deutsche Börse AG,56.23B,316.66,1.48%,6.44B,2025-06-20
210,DBOEY,Deutsche Börse AG,56.23B,31.02,0.68%,6.44B,2025-06-20
211,ADYEY,Adyen N.V.,55.92B,17.60,-3.77%,2.09B,2025-06-20
212,ADYYF,Adyen N.V.,55.92B,"1,767.76",-2.71%,2.09B,2025-06-20
213,ANZGF,ANZ Group Holdings Limited,55.79B,18.60,-,13.16B,2025-06-20
214,OVCHF,Oversea-Chinese Banking Corporation Limited,55.78B,13.70,8.30%,10.25B,2025-06-20
215,OVCHY,Oversea-Chinese Banking Corporation Limited,55.78B,24.94,0.24%,10.25B,2025-06-20
216,UMGNF,Universal Music Group N.V.,55.77B,30.50,-0.38%,12.25B,2025-06-20
217,UNVGY,Universal Music Group N.V.,55.77B,15.34,0.52%,12.25B,2025-06-20
218,RBSPF,NatWest Group plc,55.54B,7.02,6.13%,19.06B,2025-06-20
219,WMMVF,"Wal-Mart de México, S.A.B. de C.V.",55.30B,3.200,-2.74%,47.57B,2025-06-20
220,WMMVY,"Wal-Mart de México, S.A.B. de C.V.",55.30B,31.44,-4.12%,47.57B,2025-06-20
221,NNFSF,"Nongfu Spring Co., Ltd.",54.80B,4.840,-,5.88B,2025-06-20
222,ANZGY,ANZ Group Holdings Limited,54.37B,18.42,-3.00%,13.16B,2025-06-20
223,MKGAF,Merck KGaA,54.32B,124.95,-3.40%,23.04B,2025-06-20
224,MKKGY,Merck KGaA,54.32B,25.32,0.82%,23.04B,2025-06-20
225,ENGIY,Engie SA,54.30B,22.40,-0.75%,76.42B,2025-06-20
226,ENGQF,Engie SA,54.30B,22.75,0.85%,76.42B,2025-06-20
227,VLVLY,AB Volvo (publ),54.13B,27.12,1.50%,51.55B,2025-06-20
228,VOLAF,AB Volvo (publ),54.13B,26.00,-12.69%,51.55B,2025-06-20
229,VOLVF,AB Volvo (publ),54.13B,28.30,5.31%,51.55B,2025-06-20
230,CRARF,Crédit Agricole S.A.,53.81B,18.50,-0.11%,38.12B,2025-06-20
231,CRARY,Crédit Agricole S.A.,53.81B,8.90,-2.22%,38.12B,2025-06-20
232,JAPAF,Japan Tobacco Inc.,53.80B,31.00,3.16%,21.61B,2025-06-20
233,CODGF,Compagnie de Saint-Gobain S.A.,53.60B,109.15,-1.22%,48.22B,2025-06-20
234,CODYY,Compagnie de Saint-Gobain S.A.,53.60B,21.73,-1.63%,48.22B,2025-06-20
235,MBGAF,Mercedes-Benz Group AG,53.46B,55.95,0.03%,154.50B,2025-06-20
236,MBGYY,Mercedes-Benz Group AG,53.46B,13.96,-0.14%,154.50B,2025-06-20
237,JAPAY,Japan Tobacco Inc.,53.15B,14.91,-1.24%,21.61B,2025-06-20
238,DANOY,Danone S.A.,52.78B,16.40,-1.15%,28.34B,2025-06-20
239,GPDNF,Danone S.A.,52.78B,83.80,1.47%,28.34B,2025-06-20
240,DHLGY,Deutsche Post AG,52.56B,46.69,0.39%,92.23B,2025-06-20
241,DPSTF,Deutsche Post AG,52.56B,47.26,2.18%,92.23B,2025-06-20
242,TGOPF,3i Group plc,52.36B,55.08,-1.33%,6.65B,2025-06-20
243,TGOPY,3i Group plc,52.36B,27.75,-1.49%,6.65B,2025-06-20
244,ARZGF,Assicurazioni Generali S.p.A.,51.89B,35.00,6.71%,57.26B,2025-06-20
245,ARZGY,Assicurazioni Generali S.p.A.,51.89B,17.28,0.67%,57.26B,2025-06-20
246,PTPIF,PT Chandra Asri Pacific Tbk,51.59B,0.391,-25.86%,1.94B,2025-06-20
247,AMXOF,"América Móvil, S.A.B. de C.V.",51.13B,0.873,1.17%,43.93B,2025-06-20
248,CIIHF,CITIC Securities Company Limited,50.97B,2.550,-4.39%,8.94B,2025-06-20
249,PTCAY,PT Chandra Asri Pacific Tbk,50.93B,62.05,10.80%,1.94B,2025-06-20
250,CIIHY,CITIC Securities Company Limited,50.90B,28.00,-1.37%,8.94B,2025-06-20
251,BAMXF,Bayerische Motoren Werke Aktiengesellschaft,50.74B,86.13,-5.46%,150.80B,2025-06-20
252,BMWKY,Bayerische Motoren Werke Aktiengesellschaft,50.74B,27.65,0.18%,150.80B,2025-06-20
253,BYMOF,Bayerische Motoren Werke Aktiengesellschaft,50.74B,82.30,0.81%,150.80B,2025-06-20
254,IFNNF,Infineon Technologies AG,50.74B,39.55,-2.10%,15.82B,2025-06-20
255,IFNNY,Infineon Technologies AG,50.74B,39.02,-0.47%,15.82B,2025-06-20
256,VLKAF,Volkswagen AG,50.31B,103.20,-0.10%,353.17B,2025-06-20
257,VWAGY,Volkswagen AG,50.31B,10.18,0.20%,353.17B,2025-06-20
258,SNGNF,Singapore Telecommunications Limited,50.08B,3.160,-2.77%,10.53B,2025-06-20
259,MQBKY,Macquarie Group Limited,50.00B,135.71,-1.62%,10.80B,2025-06-20
260,SGAPY,Singapore Telecommunications Limited,49.44B,30.11,-2.43%,10.53B,2025-06-20
261,MCQEF,Macquarie Group Limited,49.06B,140.85,2.00%,10.80B,2025-06-20
262,ANCTF,Alimentation Couche-Tard Inc.,48.91B,51.30,-1.74%,74.18B,2025-06-20
263,NBNKF,Nordea Bank Abp,48.85B,14.05,-2.09%,12.66B,2025-06-20
264,NRDBY,Nordea Bank Abp,48.84B,14.31,-0.35%,12.66B,2025-06-20
265,SSREF,Swiss Re AG,48.45B,175.00,1.01%,43.84B,2025-06-20
266,SSREY,Swiss Re AG,48.45B,41.83,1.28%,43.84B,2025-06-20
267,PINXY,The People's Insurance Company (Group) of China Limited,48.43B,12.38,-7.84%,82.09B,2025-06-20
268,LBLCF,Loblaw Companies Limited,48.25B,163.33,0.78%,42.91B,2025-06-20
269,LZAGF,Lonza Group AG,48.12B,684.25,-0.21%,7.25B,2025-06-20
270,LZAGY,Lonza Group AG,48.12B,68.19,-0.03%,7.25B,2025-06-20
271,EIPAF,Eni S.p.A.,47.99B,15.86,2.54%,98.31B,2025-06-20
272,HEINY,Heineken N.V.,47.83B,43.00,-0.52%,30.87B,2025-06-20
273,HINKF,Heineken N.V.,47.83B,85.43,-1.10%,30.87B,2025-06-20
274,BNKHF,BOC Hong Kong (Holdings) Limited,47.68B,3.700,-15.14%,8.52B,2025-06-20
275,ADTTF,Advantest Corporation,47.35B,47.90,-14.31%,5.21B,2025-06-20
276,ATEYY,Advantest Corporation,47.35B,67.39,1.49%,5.21B,2025-06-20
277,BHKLY,BOC Hong Kong (Holdings) Limited,46.87B,90.58,1.36%,8.52B,2025-06-20
278,JDCMF,"JD.com, Inc.",46.85B,18.84,12.17%,165.35B,2025-06-20
279,RBGLY,Reckitt Benckiser Group plc,46.60B,13.80,-1.11%,17.74B,2025-06-20
280,RBGPF,Reckitt Benckiser Group plc,46.60B,67.66,-3.37%,17.74B,2025-06-20
281,DASTF,Dassault Systèmes SE,46.47B,35.60,-3.82%,6.80B,2025-06-20
282,DASTY,Dassault Systèmes SE,46.47B,35.60,-0.64%,6.80B,2025-06-20
283,EXPGF,Experian plc,46.25B,51.59,0.49%,7.52B,2025-06-20
284,EXPGY,Experian plc,46.25B,50.63,-1.56%,7.52B,2025-06-20
285,HLNCF,Haleon plc,46.16B,5.35,3.58%,14.06B,2025-06-20
286,TKPHF,Takeda Pharmaceutical Company Limited,46.06B,32.13,13.65%,30.60B,2025-06-20
287,ENAKF,E.ON SE,45.49B,17.56,0.17%,91.14B,2025-06-20
288,EONGY,E.ON SE,45.49B,17.73,1.08%,91.14B,2025-06-20
289,GVDBF,Givaudan SA,45.45B,"5,008.62",-5.05%,8.18B,2025-06-20
290,GVDNY,Givaudan SA,45.45B,97.91,-2.11%,8.18B,2025-06-20
291,GLCNF,Glencore plc,45.33B,3.861,-1.00%,230.94B,2025-06-20
292,GLNCY,Glencore plc,45.33B,7.63,-1.55%,230.94B,2025-06-20
293,GMGSF,Goodman Group,45.32B,22.22,6.76%,1.80B,2025-06-20
294,UOVEF,United Overseas Bank Limited,45.06B,27.20,-,9.80B,2025-06-20
295,NAPRF,Naspers Limited,44.85B,305.19,-0.07%,6.87B,2025-06-20
296,NPSNY,Naspers Limited,44.85B,58.39,-2.03%,6.87B,2025-06-20
297,UOVEY,United Overseas Bank Limited,44.83B,54.43,0.46%,9.80B,2025-06-20
